BatchNumber,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41
37,5.002985,20.17185,28.96563,,5.000497,5.051471,26.79192,28.3,36,39.6,23.1,920.7916,2080.434,2142.729,1029.71,23.52186,26.17568,30.64741,33.97821,31.6513,140.5465,131.0702,5.00024,60.01913,24.78553,31.89197,5.078957,27.07697,7.494474,54.95352,5.00024,60,40,13,4.927845,11,4.964271,4.964271,6033.625,5618.528,5002.185547
38,4.995522,20.49125,28.1177,,4.999668,5.050548,26.79007,28.6,36.1,39.6,23,928.9658,2082.235,2123.944,1018.005,23.52186,26.34365,30.64741,33.97821,31.6513,140.4473,131.0702,5.000978,60.69099,24.64315,31.90352,5.092348,26.88014,7.500858,54.92872,5.000978,60,40,13,4.93984,11,4.945378,4.942679,6041.861,5618.528,5010.420898
39,5.000497,19.96271,27.82912,,4.99801,5.050548,26.78856,28.6,36.1,39.4,22.9,921.2494,2082.235,2188.992,1029.71,23.35389,25.83976,30.81537,33.97821,31.6513,140.5465,131.0702,5.00024,60.69099,25.66552,32.56041,5.096,26.64922,7.50405,54.92872,5.00024,60,40,13,4.938917,11,4.961572,4.948977,6050.097,5618.528,5035.128906
40,5.000497,19.91407,26.77205,,5.000497,5.050548,26.78704,28.6,36,39.4,22.9,921.2494,2081.41,2156.379,1017.833,23.18593,26.00772,30.47944,33.81025,31.6513,140.7449,131.2382,4.999502,60.1871,25.49113,31.34366,5.099652,26.67384,7.513625,54.92872,4.999502,60,40,13,4.955524,11,4.969669,4.972368,6033.625,5618.528,5026.893555
41,5.000497,21.11706,29.30285,,5.000497,5.050548,26.77697,28.4,36,39.4,23,928.6581,2068.83,2156.379,1029.884,23.52186,26.17568,30.47944,33.81025,31.48333,140.7449,131.0702,4.998764,61.01012,24.99043,31.98528,5.080174,27.00744,7.500858,54.97962,4.998764,60,40,13,4.937072,11,4.950777,4.957973,6033.625,5618.528,5018.657227
42,5.004643,19.11316,28.61381,,4.999668,5.049625,26.72927,28.3,36,39.5,23.1,920.7916,2076.573,2156.724,1018.177,23.52186,26.17568,30.64741,33.81025,31.6513,140.7449,130.5831,4.998764,61.17809,24.96218,31.49235,5.088696,26.52117,7.50405,54.97962,4.998764,60,40,13,4.937072,11,4.952576,4.939081,6041.861,5618.528,5010.420898
43,4.997181,19.4666,28.79053,,5.000497,5.050548,26.68408,28.1,35.9,39.6,23.1,920.4863,2081.074,2109.379,1018.177,23.52186,26.34365,30.47944,33.81025,31.6513,140.6457,130.9023,5.00024,60.69099,25.19586,32.06243,5.091131,26.82155,7.494474,54.94177,5.00024,60,40,13,4.931536,11,4.954375,4.958873,6033.625,5635,4993.949219
44,5.000497,19.8022,29.71952,,4.999668,5.050548,26.69634,27.8,35.9,39.6,23.1,920.0281,2077.704,2175.568,1030.058,23.35389,26.34365,30.64741,33.81025,31.48333,140.6457,131.2382,4.999502,61.17809,25.42521,32.0919,5.099652,27.01564,7.500858,54.94177,4.999502,60,40,13,4.932458,11,4.956174,4.960672,6033.625,5618.528,4978.300781
45,4.998839,20.20266,27.09144,,4.998839,5.050548,26.67568,27.7,36,39.6,23.1,927.5804,2092.944,2157.069,1063.763,23.35389,26.00772,30.47944,33.81025,31.48333,140.6457,131.0702,5.00024,62.01791,24.65058,31.60692,5.092348,27.19718,7.500858,54.94177,5.00024,60,40,13,4.948143,11,4.955275,4.949877,6033.625,5626.764,4970.064453
46,5.002156,19.45039,27.38003,,5.000497,5.050548,26.62177,27.7,36.1,39.5,23.1,919.8754,2076.419,2175.22,1018.177,23.52186,26.00772,30.47944,33.47432,31.31537,140.7449,130.5831,5.00024,61.17809,24.99788,31.56038,5.092348,26.73386,7.500858,54.96657,5.00024,60,40,13,4.949989,11,4.965171,4.959773,6033.625,5626.764,4953.592773
47,4.99801,20.31615,28.82133,,4.999668,5.050548,26.57037,27.7,36.1,39.4,23.1,902.5177,2086.086,2142.044,1063.763,23.35389,26.00772,30.47944,33.47432,31.14741,140.5465,130.0793,5.00024,59.6832,24.49189,31.97607,5.099652,27.13865,7.516817,54.92872,5.00024,60,40,13,4.938917,11,4.959773,4.943579,6033.625,5618.528,4961.828125
